Date,state_0_filtered_probability,state_1_filtered_probability,state_2_filtered_probability
2025-05-05,8.703814097104242e-136,0.9999999962565198,3.742756758037707e-09
2025-05-06,1.74149766945651e-148,0.9999999999563443,4.2758783963081985e-11
2025-05-07,9.784821383666777e-154,0.999999999992724,7.874325763376034e-12
2025-05-08,5.69228550543965e-126,0.9999999999636202,3.6412632462572744e-11
2025-05-09,6.429399506188748e-125,0.999999999990905,9.27757018997973e-12
2025-05-10,4.147659956577845e-126,0.999999999994543,5.126768772554022e-12
2025-05-11,3.478189152562827e-147,1.0,3.8983153313023554e-13
2025-05-12,2.5256797873026795e-150,0.999999999998181,2.110535152610586e-12
2025-05-13,2.23942144687501e-147,1.0,6.610821083001805e-13
2025-05-14,3.636446995163806e-164,1.0,3.8826710943684636e-13
2025-05-15,4.579025247382865e-161,1.0,5.914962367284389e-13
2025-05-16,5.590115078833291e-163,1.0,6.566943422757603e-13
2025-05-17,2.0015556852628327e-164,1.0,2.6465073131577874e-13
2025-05-18,4.770640405308526e-165,1.0,1.2723517584332052e-13
2025-05-19,6.364417344076085e-163,1.0,1.582949831567582e-14
2025-05-20,3.769316197689677e-159,1.0,6.912788005074675e-15
2025-05-21,4.9350776743853727e-147,1.0,4.491132323582045e-13
2025-05-22,6.337793137158354e-148,0.999999999998181,9.440861089199195e-13
2025-05-23,5.013596546059234e-135,0.9999999963765731,3.6232893077243854e-09
2025-05-24,1.3916796450506557e-133,0.9999999980118446,1.988257025375677e-09
2025-05-25,3.6605973085276785e-138,0.9999999991614459,8.377566133447469e-10
2025-05-26,2.5832615253078595e-147,0.9999999991086952,8.913937982843387e-10
2025-05-27,4.7556388631001365e-142,1.0,3.7273259635606256e-13
2025-05-28,2.2868641444736194e-173,1.0,6.963170632964997e-13
2025-05-29,2.1403608160498708e-172,1.0,7.26181857654582e-13
2025-05-30,5.363645697650173e-179,0.999999999996362,3.293038721987497e-12
2025-05-31,2.3567704272442956e-179,1.0,6.504559322834897e-13
2025-06-01,5.35701080771286e-212,0.999999999998181,1.1804958117964412e-12
2025-06-02,9.821662153343404e-217,0.999999999996362,2.9207814334684643e-12
2025-06-03,6.719868617082152e-216,1.0,5.243493345195295e-13
2025-06-04,8.79565070041007e-216,0.999999999998181,2.000913471427521e-12
2025-06-05,6.328994184356908e-204,0.9999999991887307,8.105754092415539e-10
2025-06-06,5.452764756950317e-195,0.999999999994543,5.562616321317212e-12
2025-06-07,5.941293770419838e-201,0.9999999999799911,2.0662148695253343e-11
2025-06-08,3.8966195438425023e-203,0.999999999990905,8.26487924420509e-12
2025-06-09,6.829394368165308e-197,0.999999999996362,3.634807874767301e-12
2025-06-10,1.2231458263230538e-211,1.0,7.711029274606749e-13
2025-06-11,3.982359788562132e-211,0.999999999998181,2.4378288909597743e-12
2025-06-12,6.246688387095447e-218,0.999999999998181,1.9674069859796043e-12
2025-06-13,6.624675546871571e-205,0.9999999971241778,2.876672182993489e-09
2025-06-14,4.0690723518358406e-202,0.9999999953852239,4.614952385943407e-09
2025-06-15,1.1941077698895573e-204,0.9999999937354005,6.2654784787368315e-09
2025-06-16,2.1647670095747313e-212,0.9999999999854481,1.4593792397913204e-11
2025-06-17,7.775279954574976e-212,0.9999983092871585,1.6907127918986137e-06
2025-06-18,6.348067239961616e-213,0.9999999957854016,4.213812303003914e-09
2025-06-19,3.2148560580763886e-216,0.9999999994706741,5.29307852065173e-10
2025-06-20,7.82129644661988e-213,0.9999999873307388,1.2669507348096194e-08
2025-06-21,2.694704817360961e-209,0.999999985238901,1.4761383609327096e-08
2025-06-22,1.188517232883438e-217,0.999999820964165,1.7903505568804839e-07
2025-06-23,4.615145542172656e-201,0.9999999967003532,3.2989270141126763e-09
2025-06-24,1.2234501640652132e-201,0.9999999999836291,1.688145202233507e-11
2025-06-25,1.4176406388092579e-211,1.0,8.014642980964696e-13
2025-06-26,3.462881997903655e-216,0.999999999994543,5.215101750914059e-12
2025-06-27,1.5658741605501141e-217,0.999999999992724,7.18787281260791e-12
2025-06-28,8.254049002138024e-217,0.999999999992724,7.285326691715699e-12
2025-06-29,3.1883141011953067e-229,0.9999999999727152,2.7895392024956144e-11
2025-06-30,5.99915848403552e-229,0.9999999999527063,4.796425479266918e-11
2025-07-01,1.687127619149289e-228,0.9999999999636202,3.635856129585269e-11
2025-07-02,3.6342941215348773e-224,1.0,5.196436582036505e-13
2025-07-03,5.900811511709519e-237,1.0,7.625471408649383e-14
2025-07-04,1.9522405669868536e-236,1.0,7.725143885113167e-14
2025-07-05,9.123814484766089e-236,1.0,6.498842561425505e-14
2025-07-06,6.757886866347463e-239,1.0,6.662110722029039e-13
2025-07-07,3.793823421297072e-238,1.0,7.438671775758512e-14
2025-07-08,7.62002281456651e-240,1.0,3.1827502587574863e-14
2025-07-09,4.717107596460328e-237,1.0,7.686789444066152e-15
2025-07-10,2.572612339089563e-233,1.0,1.7273275434669873e-15
2025-07-11,1.5350063121373942e-233,1.0,7.78764066639645e-16
2025-07-12,1.5797490892938169e-236,1.0,5.83756628040478e-16
2025-07-13,2.2903661294618962e-253,1.0,2.0000333522304637e-15
2025-07-14,1.3976928313149195e-255,1.0,6.221277819262003e-15
2025-07-15,2.577336355037677e-250,1.0,9.080219724097086e-14
2025-07-16,6.221608837000355e-250,1.0,2.706099191000127e-14
2025-07-17,1.2014514204124677e-247,1.0,1.2239477961974345e-14
2025-07-18,3.450529008671644e-246,1.0,1.8421269024247016e-14
