Date,state_0_probability,state_1_probability,state_2_probability
2024-12-26,0.9999886107128192,1.683968079761449e-11,1.1389269886717047e-05
2024-12-27,0.9999998681560187,5.251698651775689e-12,1.3183845067098695e-07
2024-12-28,0.9999998752073302,4.60754069422648e-11,1.247469448349435e-07
2024-12-29,0.9999988714277608,1.1973405337513083e-12,1.1285710402851694e-06
2024-12-30,0.9999999753135856,2.9041726632518506e-14,2.468679467389772e-08
2024-12-31,0.9999999975116225,1.0858122461185455e-13,2.4882476850305183e-09
2025-01-01,0.9999999799647414,3.167105797333514e-14,2.0035604296391596e-08
2025-01-02,0.9999999949586709,2.8583542526966997e-13,5.041147255411852e-09
2025-01-03,0.9999999496521935,7.36391264038132e-13,5.034678304587781e-08
2025-01-04,0.9999999379897436,9.72350442084696e-12,6.200038519376178e-08
2025-01-05,0.999999954417036,1.3741423356885043e-08,3.184158927478028e-08
2025-01-06,0.999717136404121,2.04918982292182e-05,0.00026237169736953897
2025-01-07,0.03150869279322319,5.043946283770597e-06,0.9684862632601251
2025-01-08,0.009533117848509878,3.081441062402135e-08,0.9904668513371815
2025-01-09,0.037402150765157814,1.3258625329586974e-11,0.962597849221359
2025-01-10,0.974071051879869,1.3343629517731785e-11,0.02592894810643998
2025-01-11,0.9992219843883999,8.002422660444757e-11,0.0007780155311639134
2025-01-12,0.9999906109164513,1.531459225286869e-11,9.389068407190476e-06
2025-01-13,0.9999989091344598,2.763705377964757e-10,1.0905888371050059e-06
2025-01-14,0.9999918814639704,6.805726329037576e-08,8.050478322698203e-06
2025-01-15,0.9973774728305063,9.693872890195372e-07,0.002621557782297793
2025-01-16,0.904134705612765,3.036301782716581e-06,0.09586225808578659
2025-01-17,0.6623856808765344,6.350349954393989e-06,0.33760796877354055
2025-01-18,0.3536339156470195,7.302543169431913e-06,0.6463587818098834
2025-01-19,0.011145584151562719,1.3872282373160166e-06,0.9888530286198921
2025-01-20,0.00013595807562922021,2.3428360533679106e-08,0.9998640184962274
2025-01-21,8.31964651406676e-06,5.689708950777826e-10,0.9999916797842685
2025-01-22,3.6829326454732187e-06,1.3966244635794348e-10,0.9999963169279522
2025-01-23,1.7504921254586727e-06,1.1416995030659236e-11,0.9999982494961701
2025-01-24,3.454979148489625e-06,4.698270600806083e-12,0.9999965450165859
2025-01-25,3.3933710261385586e-06,9.027184143989056e-12,0.999996606620089
2025-01-26,7.538716709457633e-06,4.20398008492428e-12,0.9999924612786745
2025-01-27,0.0004034095223772402,3.469101577866575e-11,0.9995965904426419
2025-01-28,0.00015858789652074587,2.275914253429155e-09,0.9998414098274989
2025-01-29,0.00016118830541384687,9.447568034835741e-10,0.999838810749931
2025-01-30,1.8477081623535334e-06,2.003614256465758e-10,0.9999981520912818
2025-01-31,2.350500613957276e-06,2.417292632069749e-12,0.9999976494973792
2025-02-01,2.4819497208114197e-06,3.1745082344586994e-12,0.9999975180475181
2025-02-02,3.563551423166431e-06,3.855547903191334e-12,0.9999964364451274
2025-02-03,0.00010584942606635193,1.9271516430883287e-11,0.9998941505545705
2025-02-04,6.586490443736918e-06,4.704333708802495e-11,0.9999934134628801
2025-02-05,2.5246141707355205e-06,1.7753129661773725e-12,0.999997475384138
2025-02-06,1.1361418438284078e-06,2.6564188351816584e-13,0.9999988638580449
2025-02-07,1.8311459034698498e-05,5.983938948380831e-13,0.999981688540484
2025-02-08,1.5388397987750617e-05,8.277643221256244e-12,0.999984611593559
2025-02-09,1.4777287365797622e-05,6.8473388234240225e-12,0.999985222705664
2025-02-10,4.294047421277406e-06,4.4487738925904025e-12,0.9999957059482194
2025-02-11,1.1407964603906461e-05,2.159441156853769e-12,0.9999885920329205
2025-02-12,3.989633400272692e-05,1.9677220395121352e-11,0.99996010364619
2025-02-13,7.217252048260908e-06,1.5937652379488393e-11,0.9999927827317482
2025-02-14,8.309934541482567e-06,3.015031618017218e-12,0.9999916900623826
2025-02-15,7.794443345812604e-06,3.3154555864455818e-12,0.9999922055534622
2025-02-16,3.7406126804199426e-09,2.2871095959234346e-13,0.9999999962592483
2025-02-17,6.981790813774298e-09,1.087294449289667e-16,0.9999999930178092
2025-02-18,1.3677238602889689e-09,1.6345311731864633e-16,0.99999999863212
2025-02-19,1.6205244220555187e-09,3.0974469664720455e-17,0.9999999983792804
2025-02-20,2.5951151899070616e-09,3.0000566158798586e-17,0.9999999974052116
2025-02-21,1.0792325224777608e-05,1.2774782277988977e-15,0.9999892076748736
2025-02-22,1.0291414949599136e-05,4.82185716490754e-12,0.9999897085801666
2025-02-23,2.9872892726610888e-05,8.630859404395521e-13,0.9999701271068318
2025-02-24,0.029656486622610948,2.5286129585513966e-13,0.9703435133773409
2025-02-25,0.7074261608164606,2.391180044352128e-11,0.29257383915993745
2025-02-26,0.9742907018839299,2.1969415500509184e-13,0.025709298115703546
2025-02-27,0.9999987972694683,1.0268013563875131e-12,1.2027298820552968e-06
2025-02-28,0.9999996701135931,2.8893630074290564e-13,3.2988620010415586e-07
2025-03-01,0.9999997375462388,1.1994615053491259e-15,2.6245372915035094e-07
2025-03-02,0.999999998874955,1.2338324442246572e-23,1.1254503690937453e-09
2025-03-03,1.0,2.2831599534334322e-25,4.0584319631762826e-17
2025-03-04,1.0,7.11342933231934e-24,3.133362040122898e-19
2025-03-05,1.0,3.848613949138041e-25,2.0072007753804824e-17
2025-03-06,1.0,5.5819906664763304e-24,1.86869314880362e-24
2025-03-07,1.0,2.5434039585860837e-24,9.07715788046209e-23
2025-03-08,1.0,2.7885999794739585e-24,6.465800449463572e-23
2025-03-09,1.0,1.9415589991756064e-24,9.999210073994442e-24
2025-03-10,1.0,9.283890361210787e-22,3.026450268459155e-39
2025-03-11,1.0,1.897427780735095e-21,7.787886260916833e-41
2025-03-12,1.0,3.4157474874888186e-22,2.5036235021132038e-36
2025-03-13,1.0,2.3552753590799274e-22,2.1836254413743345e-35
2025-03-14,1.0,1.0063248729723139e-22,4.225498714528046e-32
2025-03-15,1.0,1.0604807107103633e-22,3.202528399264641e-32
2025-03-16,1.0,8.362887828632813e-23,1.6468402126157394e-30
2025-03-17,1.0,7.158162260915021e-23,3.7315010003659905e-27
2025-03-18,1.0,3.8349778624288257e-22,4.1042754592582786e-30
2025-03-19,1.0,4.1328954716271703e-23,2.8036050393280037e-24
2025-03-20,1.0,2.0803790349414898e-23,9.877646064660091e-26
2025-03-21,1.0,2.645785177032766e-23,3.6278818552913453e-25
2025-03-22,1.0,2.2755033929810824e-21,2.5573815324299584e-23
2025-03-23,1.0,2.442324644076502e-19,9.508263773742415e-18
2025-03-24,1.0,4.344292790687123e-18,3.1626248328858066e-15
2025-03-25,1.0,5.12874861980863e-17,4.248212911933052e-15
2025-03-26,1.0,7.854088645998926e-18,2.5260308148895277e-13
2025-03-27,1.0,4.4213302323126456e-17,5.476375682371677e-14
2025-03-28,1.0,1.0936316040528331e-14,1.59474504166883e-20
2025-03-29,0.999999999998181,1.615485386193469e-12,6.6635387184961e-20
2025-03-30,0.9999999998208295,1.6411114364325916e-10,1.538238342018595e-11
2025-03-31,0.9999999424699143,5.736919355629266e-08,1.60897012120468e-10
2025-04-01,0.9999864588387989,1.3541064356143612e-05,9.695330333098634e-11
2025-04-02,0.9892727194737153,0.010727262495944702,1.8030446168832476e-08
2025-04-03,0.21591219583585533,0.7840878041645948,4.077776573620586e-50
2025-04-04,3.212759058099714e-18,1.0,1.2759033353539456e-121
2025-04-05,2.7611773039545805e-35,1.0,6.174213198583486e-124
2025-04-06,7.519567765575e-38,1.0,1.4500182942953274e-126
2025-04-07,7.499764226587916e-38,1.0,9.493218393276411e-132
2025-04-08,4.109062505731774e-43,1.0,7.013479873218919e-188
2025-04-09,2.175590123590467e-74,1.0,2.1856111985361426e-232
2025-04-10,1.7154873432434413e-84,1.0,4.708821710573454e-271
2025-04-11,9.240373862320268e-85,1.0,2.9775044424147945e-266
2025-04-12,3.2549068783443487e-85,1.0,1.147191251410319e-267
2025-04-13,2.8253315005996586e-84,1.0,3.942866480828362e-269
2025-04-14,8.854776465367765e-83,1.0,6.951903086171836e-259
2025-04-15,4.417749228065047e-82,1.0,1.97208899538525e-255
2025-04-16,1.2264990788692882e-85,1.0,7.480399376103892e-270
2025-04-17,3.131300119340901e-83,1.0,2.147747487501078e-257
2025-04-18,1.6534284709583384e-83,1.0,3.892691374031359e-258
2025-04-19,9.113472930828939e-84,1.0,6.039527384931963e-259
2025-04-20,5.914762162633319e-84,1.0,4.472370897127983e-260
2025-04-21,1.1495906369842488e-87,1.0,3.4531392281087846e-277
2025-04-22,2.1750918674630383e-89,1.0,4.497734429903574e-276
2025-04-23,1.3609227662770577e-81,1.0,1.3715449360380666e-241
2025-04-24,5.921235933514228e-76,1.0,1.8193996573503183e-215
2025-04-25,3.97505859735255e-76,1.0,5.432058491023744e-213
2025-04-26,8.950465140520673e-76,1.0,1.2327267928071238e-208
2025-04-27,5.705474165993363e-74,1.0,1.998981897864841e-204
2025-04-28,2.22547395523844e-73,1.0,1.2497571130439234e-154
2025-04-29,1.876260079100441e-26,1.0,1.5598218569233606e-44
2025-04-30,1.139254540294387e-24,1.0,6.597976513776739e-30
2025-05-01,1.844098861393792e-23,1.0,2.21966619285137e-28
2025-05-02,5.380349323874883e-25,1.0,3.052877602359712e-28
2025-05-03,1.0442528121251392e-24,1.0,2.1505046704679115e-26
2025-05-04,7.278678881806482e-24,1.0,6.831346894706268e-25
2025-05-05,7.425040465615107e-24,1.0,2.734662061949339e-26
2025-05-06,7.265480295367287e-25,1.0,1.0549562979917206e-24
2025-05-07,2.6402486604083892e-24,1.0,1.9138706866359503e-24
2025-05-08,2.060302295680484e-24,1.0,4.586425146080155e-25
2025-05-09,7.507361792809896e-25,1.0,5.419673582011094e-24
2025-05-10,5.797190675784428e-24,1.0,1.3399123076901628e-25
2025-05-11,1.3766059294611262e-25,1.0,7.523975468763717e-28
2025-05-12,7.851316541702529e-28,1.0,2.594435597580376e-30
2025-05-13,2.182585800543739e-28,1.0,2.0680723298269694e-24
2025-05-14,2.2881449808169248e-24,1.0,5.0323164941107984e-18
2025-05-15,5.032316604175254e-18,1.0,4.934587348784357e-17
2025-05-16,4.934591728149232e-17,1.0,1.2538311763168077e-17
2025-05-17,1.2538867367318619e-17,1.0,2.421913699624097e-17
2025-05-18,2.4219274703008392e-17,1.0,3.260371156641074e-17
2025-05-19,3.2604154011422193e-17,1.0,3.361646960739418e-16
2025-05-20,3.3117389671599035e-16,0.9999999999890861,1.1063301265136392e-11
2025-05-21,1.1047639309241655e-11,0.9999999949750418,5.014032479728936e-09
2025-05-22,4.908061034340875e-09,0.9999931756852701,6.819406313084752e-06
2025-05-23,6.820769989972991e-06,0.9999930200899906,1.5914023851558096e-07
2025-05-24,6.3109443695905585e-06,0.9999936402102649,4.884539368107094e-08
2025-05-25,4.572017844680854e-06,0.9999954127338866,1.5248520931457686e-08
2025-05-26,1.4154817734751293e-06,0.999998583844083,6.743054682624247e-10
2025-05-27,3.581154586619731e-08,0.9999999636065702,5.817519265867623e-10
2025-05-28,1.7850806069607738e-08,0.9999999115334542,7.061558032911441e-08
2025-05-29,8.08339269348951e-08,0.9999994851124445,4.3405354895710753e-07
2025-05-30,3.268459978348888e-07,0.9999382677489254,6.140540530516023e-05
2025-05-31,1.9354702846918223e-06,0.9915545688069903,0.008443495723002336
2025-06-01,5.165535452803935e-08,9.291315946454066e-05,0.9999070351855474
2025-06-02,2.7877838754135633e-06,8.820593427943774e-09,0.9999972033959236
2025-06-03,1.5080610947664218e-06,3.6898781780214006e-12,0.9999984919352303
2025-06-04,3.1054757532494035e-06,1.528947547179744e-12,0.9999968945224299
2025-06-05,5.3899797164754705e-05,1.858845493459833e-11,0.9999461001845725
2025-06-06,5.9217791225920354e-06,1.2775320446669216e-10,0.999994078092895
2025-06-07,4.593460626712295e-06,1.1878948549471783e-11,0.9999954065275232
2025-06-08,5.799634125096967e-06,7.992440514066896e-12,0.9999942003582797
2025-06-09,5.407472241023263e-06,8.460389718872159e-12,0.9999945925192837
2025-06-10,6.471160404880997e-08,1.3797193263080156e-12,0.9999999352867256
2025-06-11,8.132674977206763e-08,1.324639273472105e-14,0.9999999186729871
2025-06-12,3.6156499869822316e-08,3.394944584974647e-14,0.9999999638430388
2025-06-13,1.7694791058169462e-06,9.367782095106535e-14,0.9999982305205061
2025-06-14,1.6432762691598925e-06,4.2186122867535035e-12,0.9999983567199565
2025-06-15,1.548686581813547e-06,3.676320891948936e-12,0.9999984513099831
2025-06-16,2.7268004866119334e-08,3.9090757321693455e-13,0.9999999727315302
2025-06-17,1.6528484283133584e-06,7.607505532611304e-14,0.9999983471511785
2025-06-18,4.513948656901618e-07,1.0567658667894854e-12,0.999999548604239
2025-06-19,3.2506713496945215e-07,2.9115852411989386e-13,0.999999674933004
2025-06-20,9.307404475180395e-07,4.410975691224244e-13,0.9999990692590256
2025-06-21,1.0111636278274689e-06,1.379022436480869e-12,0.9999989888352158
2025-06-22,5.601485319846592e-06,2.6619666890988944e-12,0.9999943985123987
2025-06-23,4.145882418511564e-06,8.58414393585592e-12,0.9999958541088285
2025-06-24,3.6291839827391726e-07,1.025115795770019e-12,0.999999637080757
2025-06-25,5.2129095789344455e-08,5.5310289113822706e-14,0.9999999478704935
2025-06-26,9.619860259354566e-08,5.347014616944943e-15,0.9999999038018406
2025-06-27,4.6691795586438413e-08,1.0255668898574647e-14,0.9999999533083621
2025-06-28,4.587013610730208e-08,4.8750496865268745e-15,0.9999999541296357
2025-06-29,4.0302834220658634e-08,3.44237888482321e-15,0.9999999596975621
2025-06-30,5.199512974811944e-08,3.1179426018081976e-15,0.9999999480050987
2025-07-01,5.4040956601854165e-08,4.020839425179299e-15,0.9999999459587358
2025-07-02,2.1084243728829883e-08,5.8227977002094e-15,0.999999978916094
2025-07-03,3.1109292348948837e-09,2.371478497180299e-14,0.9999999968886186
2025-07-04,2.721110970091461e-09,3.0037827865650645e-15,0.9999999972787919
2025-07-05,2.3349417306824743e-09,2.2134807573024216e-15,0.9999999976653271
2025-07-06,1.7495945753502206e-09,2.0714587932628984e-16,0.9999999982501322
2025-07-07,1.0369379840077511e-09,6.328032477206549e-16,0.999999998963176
2025-07-08,6.327299231757547e-10,2.7168515195518157e-16,0.9999999993669917
2025-07-09,4.531455697459252e-10,2.2238991678679437e-16,0.9999999995470716
2025-07-10,3.9046353709077897e-10,4.132238638653278e-16,0.9999999996098268
2025-07-11,3.3856707967828704e-10,3.5074855047258916e-16,0.999999999661668
2025-07-12,2.8987027272501647e-10,2.6272216298957463e-16,0.9999999997098712
2025-07-13,1.8673991740419807e-10,3.884026492245125e-17,0.9999999998135536
2025-07-14,1.690287689824242e-10,3.6580401106627134e-17,0.999999999830834
2025-07-15,3.422998957261887e-10,3.7853769811651435e-17,0.99999999965803
2025-07-16,4.0061154333709186e-10,1.1024161272025016e-16,0.9999999995998223
2025-07-17,2.271086621045743e-10,6.4566802060234e-17,0.9999999997726263
2025-07-18,2.448907832676308e-10,3.254356075930488e-17,0.9999999997553459
2025-07-19,2.453576464231283e-10,3.5149056153195716e-17,0.9999999997544364
2025-07-20,4.80105383977837e-10,6.332540901429157e-17,0.9999999995197868
2025-07-21,1.810609949500503e-10,1.322856232882285e-16,0.9999999998190106
2025-07-22,3.9381203786095855e-10,2.5859825542090593e-17,0.9999999996061888
2025-07-23,3.3516231196329613e-10,7.020351690905786e-17,0.9999999996643965
2025-07-24,2.9196030756966036e-10,5.715023478667327e-17,0.9999999997080522
2025-07-25,2.0858322058076285e-10,3.6004103257722594e-17,0.9999999997917257
2025-07-26,2.0209725498773622e-10,2.5024334464271423e-17,0.9999999997980922
2025-07-27,6.547637130196472e-11,5.940767780941836e-17,0.9999999999345164
2025-07-28,4.8774666487292165e-11,2.3500354572122295e-17,0.9999999999508873
2025-07-29,1.7824040319329983e-10,1.6826909076410896e-17,0.999999999821739
2025-07-30,2.5918852103194047e-10,6.887365562929007e-17,0.999999999740794
2025-07-31,8.321352878074106e-10,7.196425001147992e-17,0.9999999991678123
2025-08-01,5.134348955179448e-06,1.2061838046637866e-15,0.9999948656509263
2025-08-02,5.819395691365351e-06,7.89981606897126e-12,0.9999941805959841
2025-08-03,1.1559051427778146e-05,1.6386977204321897e-11,0.9999884409321154
2025-08-04,4.1756362771586584e-07,4.4266880854283554e-13,0.9999995824356082
2025-08-05,4.169480194692289e-06,5.4727494243234494e-14,0.9999958305193625
2025-08-06,1.3654552110018772e-06,2.520770972453855e-13,0.9999986345447042
2025-08-07,7.3506565924435e-07,6.940240152204427e-14,0.9999992649339192
2025-08-08,1.406370455998132e-07,1.9840999820309928e-14,0.9999998593630252
2025-08-09,1.366543819472513e-07,3.69516161628739e-15,0.9999998633457019
2025-08-10,1.2873226198396023e-07,3.5913034864475944e-15,0.9999998712673998
2025-08-11,2.0800607770240433e-07,3.732929133930788e-15,0.9999997919940359
2025-08-12,1.3254447920993962e-07,7.016240081421291e-15,0.9999998674557079
2025-08-13,1.5713715737508432e-07,4.486929140653019e-15,0.9999998428629747
2025-08-14,1.4283091872599854e-07,6.935885880443864e-15,0.9999998571693243
2025-08-15,1.9753330661494518e-07,8.039286167133487e-15,0.9999998024668653
2025-08-16,1.9331071368941912e-07,1.0867060433894959e-14,0.9999998066896483
2025-08-17,2.5507396737854025e-07,1.0066075644638986e-14,0.999999744925877
2025-08-18,9.205264882751508e-08,1.6386666050156e-14,0.999999907947317
2025-08-19,1.0326445346114678e-06,1.2652888216631547e-14,0.9999989673557013
2025-08-20,9.253430331420065e-07,1.2893757174143112e-13,0.9999990746568717
2025-08-21,8.367119586602298e-09,4.009574508351885e-14,0.9999999916326487
2025-08-22,8.907023395558564e-09,2.0074400686074153e-15,0.9999999910933184
2025-08-23,8.104764665673735e-09,2.0227646682638336e-15,0.9999999918954927
2025-08-24,5.286347065885498e-09,3.369937834089599e-16,0.9999999947140168
