simulation_id,expected_return,volatility,variance,sharpe_ratio
313,0.0008609554324683698,0.011474388898387686,0.00013166160059144256,0.07503279173232016
314,0.001753618578192386,0.018960982931115748,0.0003595188737140627,0.09248563666573563
315,0.0008921425927748426,0.02030750689098321,0.0004123948361273306,0.04393166515043583
316,0.0013191306317494756,0.01130266105767933,0.00012775014698478083,0.11670973985840467
317,0.0011743913818882045,0.01185682724038904,0.0001405843522084316,0.09904769278308814
318,0.001271159420863626,0.015478387984572146,0.00023958049460094736,0.08212479375311146
319,0.0014375773410987619,0.012387332223418973,0.00015344599961335405,0.11605221488941243
320,0.0018546093154902814,0.021056299269760173,0.00044336773893770287,0.08807859784524258
321,0.0012185387477253301,0.01074036495288669,0.0001153554393211967,0.1134541287070346
322,0.0009994203158029185,0.013516286444452208,0.0001826899992484825,0.07394193071523229
323,0.0015922159647389902,0.0159476067592726,0.0002543261613483971,0.09984043303633694
324,0.0010945513213574346,0.011605587211115195,0.00013468965451480058,0.09431244636282887
325,0.0011883010844846052,0.009664463537659148,9.340185547074316e-05,0.12295572122075865
326,0.001009113163500082,0.009700870491177422,9.410688828659688e-05,0.10402294973609148
327,0.0009732463500809978,0.00664434838431106,4.414736545209699e-05,0.1464773208429395
328,0.0009108105695284022,0.01648695352845914,0.0002718196366495713,0.05524432200019223
329,0.0013886959786029128,0.013158526019592817,0.0001731468070083012,0.10553583102964333
330,0.0014789058731216956,0.011193172463383076,0.00012528710979503715,0.13212571127262915
331,0.0013760424999129785,0.010999468508232243,0.00012098830746359284,0.12510081726977246
332,0.001217388629008331,0.010548653891307795,0.00011127409891860306,0.11540701226451959
333,0.0008544074114482058,0.006947951878843253,4.827403531072149e-05,0.12297255743090349
334,0.000914361325944824,0.007598525945573407,5.7737596545552234e-05,0.1203340401143848
335,0.0008962075609038507,0.010418766714433631,0.00010855069984979016,0.08601858410576467
336,0.0008509094621385952,0.008831740622646248,7.799964242569995e-05,0.09634674505235162
337,0.001017870319844408,0.008035785267269759,6.45738448616697e-05,0.12666718758529497
338,0.0012354448834263941,0.012317408955933735,0.0001517185633877166,0.10030071160633473
339,0.0010957171366583595,0.01033795850917564,0.00010687338613743703,0.10598970151464973
340,0.0014737799601103612,0.013333518186954354,0.0001777827072418425,0.11053196459073511
341,0.0007932247839032738,0.01311849258161239,0.0001720948476138193,0.06046615333038355
342,0.0007633213889718024,0.010599958821440556,0.00011235912701623547,0.07201173153878965
343,0.0012102573530634116,0.009736120809319819,9.479204841367041e-05,0.1243059095882318
344,0.001477217920539632,0.014001534827867491,0.00019604297753598635,0.10550399929009927
345,0.0014116390763862711,0.015560390296476495,0.00024212574617867984,0.09072003012070486
