Date,gross_portfolio_return,gross_exposure,cash_weight,portfolio_turnover,transaction_cost,net_portfolio_return,gross_equity_curve,net_equity_curve,gross_running_peak,net_running_peak,gross_drawdown,net_drawdown
2025-02-27,-0.0004821663885214156,1.0,0.4043676931576627,0.04506661823729265,4.506661823729265e-05,-0.0005272330067587082,0.9737916250664655,0.9471236517019782,1.045831869613403,1.028618418601567,-0.06888319876269167,-0.07922740389033966
2025-02-28,0.006611457223157128,0.9999999999999998,0.4065047064928999,0.07670197283426497,7.670197283426498e-05,0.006534755250322863,0.980229806739861,0.9533128729576426,1.045831869613403,1.028618418601567,-0.06272715986154842,-0.07321038033355876
2025-03-01,0.0,0.9999999999999998,0.4283283501598257,0.02277933280712663,2.2779332807126628e-05,-2.2779332807126628e-05,0.980229806739861,0.9532911571264401,1.045831869613403,1.028618418601567,-0.06272715986154842,-0.07323149198274737
2025-03-02,0.0,1.0,0.5862934126388856,0.17259917300626393,0.00017259917300626394,-0.00017259917300626394,0.980229806739861,0.9531266198610858,1.045831869613403,1.028618418601567,-0.06272715986154842,-0.0733914514607994
2025-03-03,-0.0016302021399659857,0.9999999999999998,0.476078966100371,0.11021444653851455,0.00011021444653851455,-0.0017404165865045002,0.9786318340112553,0.9514677824828406,1.045831869613403,1.028618418601567,-0.0642551040512741,-0.07500413634787395
2025-03-04,-0.00584567155655796,1.0,0.4515077295156002,0.024571236584770888,2.4571236584770887e-05,-0.005870242793142731,0.9729110737348337,0.9458824355898132,1.045831869613403,1.028618418601567,-0.06972516137371576,-0.0804340866501646
2025-03-05,0.004677862871932309,1.0,0.4292477680676003,0.022259961447999854,2.2259961447999856e-05,0.0046556029104843095,0.9774622183243498,0.9502860886099211,1.045831869613403,1.028618418601567,-0.06537346324541293,-0.07615295290759094
2025-03-06,-0.004043395762342777,1.0,0.4179971772859244,0.01125059078167591,1.125059078167591e-05,-0.004054646353124454,0.9735099517329269,0.946433014586314,1.045831869613403,1.028618418601567,-0.0691525282234996,-0.07989882596792908
2025-03-07,0.011659809329538553,1.0,0.4175516704097584,0.00044550687616605467,4.455068761660547e-07,0.011659363822662387,0.9848608921505411,0.9574678214371549,1.045831869613403,1.028618418601567,-0.0582990241877025,-0.0691710316262304
2025-03-08,0.0,1.0,0.3420757936120221,0.07547587679773624,7.547587679773624e-05,-7.547587679773624e-05,0.9848608921505411,0.9573955557138264,1.045831869613403,1.028618418601567,-0.0582990241877025,-0.06924128675876706
2025-03-09,0.0,1.0,0.3995747601636407,0.0574989665516186,5.74989665516186e-05,-5.74989665516186e-05,0.9848608921505411,0.9573405064587918,1.045831869613403,1.028618418601567,-0.0582990241877025,-0.06929480442288738
2025-03-10,-0.002885156898179496,0.9999999999999998,0.4891118491659673,0.0895370890023267,8.95370890023267e-05,-0.0029746939871818224,0.9820194139538058,0.9544927114105431,1.045831869613403,1.028618418601567,-0.06101597925408975,-0.07206336757200948
2025-03-11,-0.006469001492437114,1.0,0.4578273309965396,0.03128451816942779,3.128451816942779e-05,-0.006500286010606542,0.9756667288993364,0.9482882357913353,1.045831869613403,1.028618418601567,-0.06709026828566966,-0.07809522108251055
2025-03-12,0.006826508987147229,0.9999999999999999,0.4388096084135729,0.019017722582966648,1.9017722582966648e-05,0.006807491264564262,0.9823271265926283,0.954743699672774,1.045831869613403,1.028618418601567,-0.06072175161792448,-0.07181936235326958
2025-03-13,-0.0070031117360973985,0.9999999999999999,0.4170544532730666,0.0271701924607905,2.7170192460790498e-05,-0.007030281928558189,0.9754477799637007,0.9480315822945597,1.045831869613403,1.028618418601567,-0.06729962214262997,-0.07834473391655494
2025-03-14,0.0025230168902597772,1.0,0.4307333453893611,0.038095212636086936,3.8095212636086934e-05,0.0024849216776236904,0.9779088511881154,0.9503873665244754,1.045831869613403,1.028618418601567,-0.06494640333574431,-0.07605449276656806
2025-03-15,0.0,1.0,0.4283088343750502,0.008914261057939844,8.914261057939844e-06,-8.914261057939844e-06,0.9779088511881154,0.950378894523384,1.045831869613403,1.028618418601567,-0.06494640333574431,-0.07606272905802292
2025-03-16,0.0,0.9999999999999998,0.4341968966459719,0.008088651217602003,8.088651217602004e-06,-8.088651217602004e-06,0.9779088511881154,0.9503712072399816,1.045831869613403,1.028618418601567,-0.06494640333574431,-0.07607020246435459
