Date,regime,portfolio_beta_to_spy,rolling_beta_20,rolling_beta_60
2025-07-01,normal,0.2698308769767395,0.25451529656912686,0.13022772939197125
2025-07-02,bull,0.2357962538487114,0.25451529656912686,0.1305417952362881
2025-07-03,bull,0.2357962538487114,0.25451529656912686,0.1308558610806049
2025-07-07,normal,0.2698308769767395,0.25451529656912686,0.1317371706437222
2025-07-08,bull,0.2357962538487114,0.2545152965691269,0.13800161669325814
2025-07-09,bull,0.2357962538487114,0.2528135654127254,0.13831568253757495
2025-07-10,bull,0.2357962538487114,0.2528135654127254,0.14458012858711092
2025-07-11,normal,0.2698308769767395,0.2528135654127255,0.1514118183554473
2025-07-14,normal,0.2698308769767395,0.2528135654127254,0.15824350812378365
2025-07-15,normal,0.2698308769767395,0.2528135654127254,0.15912481768690098
2025-07-16,bull,0.2357962538487114,0.25111183425632405,0.16538926373643692
2025-07-17,bull,0.2357962538487114,0.24941010309992265,0.16570332958075376
2025-07-18,bull,0.2357962538487114,0.24770837194352127,0.17196777563028967
2025-07-21,normal,0.2698308769767395,0.24770837194352122,0.17879946539862607
2025-07-22,bull,0.2357962538487114,0.24770837194352122,0.18506391144816198
2025-07-23,bull,0.2357962538487114,0.24770837194352122,0.19132835749769792
2025-07-24,normal,0.2698308769767395,0.24941010309992265,0.1981600472660343
2025-07-25,bull,0.2357962538487114,0.24941010309992265,0.20442449331557022
2025-07-28,normal,0.2698308769767395,0.25111183425632405,0.21125618308390662
2025-07-29,normal,0.2698308769767395,0.251111834256324,0.21808787285224301
2025-07-30,bull,0.2357962538487114,0.24941010309992265,0.22435231890177892
2025-07-31,normal,0.2698308769767395,0.25111183425632405,0.23118400867011532
2025-08-01,normal,0.2698308769767395,0.2528135654127254,0.23801569843845174
2025-08-04,normal,0.2698308769767395,0.2528135654127254,0.2448473882067881
2025-08-05,normal,0.2698308769767395,0.25451529656912686,0.2516790779751245
2025-08-06,normal,0.2698308769767395,0.2562170277255283,0.25224632169392497
2025-08-07,normal,0.2698308769767395,0.2579187588819297,0.2528135654127255
2025-08-08,bull,0.2357962538487114,0.2562170277255283,0.2528135654127255
2025-08-11,normal,0.2698308769767395,0.2562170277255283,0.2528135654127254
2025-08-12,bull,0.2357962538487114,0.25451529656912686,0.2528135654127254
2025-08-13,bull,0.2357962538487114,0.25451529656912686,0.2528135654127254
2025-08-14,normal,0.2698308769767395,0.25621702772552823,0.2528135654127254
2025-08-15,normal,0.2698308769767395,0.25791875888192967,0.25338080913152594
2025-08-18,bull,0.2357962538487114,0.2562170277255283,0.2528135654127255
2025-08-19,normal,0.2698308769767395,0.25791875888192967,0.25338080913152594
2025-08-20,normal,0.2698308769767395,0.2596204900383311,0.25338080913152594
2025-08-21,normal,0.2698308769767395,0.2596204900383311,0.2539480528503264
2025-08-22,normal,0.2698308769767395,0.2613222211947325,0.2539480528503264
2025-08-25,normal,0.2698308769767395,0.2613222211947325,0.25451529656912686
2025-08-26,normal,0.2698308769767395,0.2613222211947325,0.2550825402879273
2025-08-27,normal,0.2698308769767395,0.2630239523511339,0.25564978400672783
2025-08-28,bull,0.2357962538487114,0.2613222211947325,0.25564978400672783
2025-08-29,normal,0.2698308769767395,0.2613222211947325,0.2562170277255283
2025-09-02,normal,0.2698308769767395,0.2613222211947325,0.2562170277255283
2025-09-03,bull,0.2357962538487114,0.2596204900383311,0.2562170277255283
2025-09-04,bull,0.2357962538487114,0.2579187588819297,0.2556497840067278
2025-09-05,bull,0.2357962538487114,0.25621702772552823,0.2556497840067278
2025-09-08,normal,0.2698308769767395,0.25791875888192967,0.2556497840067278
2025-09-09,bull,0.2357962538487114,0.2562170277255283,0.2550825402879273
2025-09-10,normal,0.2698308769767395,0.25791875888192967,0.2550825402879273
2025-09-11,normal,0.2698308769767395,0.2596204900383311,0.2550825402879273
2025-09-12,normal,0.2698308769767395,0.2596204900383311,0.2550825402879273
2025-09-15,normal,0.2698308769767395,0.2596204900383311,0.2550825402879273
2025-09-16,normal,0.2698308769767395,0.2613222211947325,0.2550825402879273
2025-09-17,bull,0.2357962538487114,0.2596204900383311,0.2550825402879273
2025-09-18,bull,0.2357962538487114,0.25791875888192967,0.2550825402879273
2025-09-19,bull,0.2357962538487114,0.25621702772552823,0.2550825402879273
2025-09-22,normal,0.2698308769767395,0.2562170277255283,0.25564978400672783
2025-09-23,normal,0.2698308769767395,0.25621702772552823,0.2562170277255283
2025-09-24,bull,0.2357962538487114,0.25451529656912686,0.2556497840067278
2025-09-25,normal,0.2698308769767395,0.25451529656912686,0.2556497840067278
2025-09-26,bull,0.2357962538487114,0.25451529656912686,0.2556497840067278
2025-09-29,normal,0.2698308769767395,0.25451529656912686,0.25621702772552823
2025-09-30,normal,0.2698308769767395,0.25451529656912686,0.2562170277255283
2025-10-01,normal,0.2698308769767395,0.25621702772552823,0.25678427144432875
2025-10-02,normal,0.2698308769767395,0.25791875888192967,0.2573515151631292
2025-10-03,normal,0.2698308769767395,0.2596204900383311,0.25791875888192967
2025-10-06,bull,0.2357962538487114,0.25791875888192967,0.2573515151631292
2025-10-07,normal,0.2698308769767395,0.2596204900383311,0.2573515151631292
2025-10-08,bull,0.2357962538487114,0.2579187588819297,0.25678427144432875
2025-10-09,normal,0.2698308769767395,0.25791875888192967,0.2573515151631292
2025-10-10,normal,0.2698308769767395,0.25791875888192967,0.25791875888192967
2025-10-13,normal,0.2698308769767395,0.2579187588819297,0.2584860026007301
2025-10-14,normal,0.2698308769767395,0.25791875888192967,0.2584860026007301
2025-10-15,normal,0.2698308769767395,0.2596204900383311,0.2590532463195306
2025-10-16,normal,0.2698308769767395,0.2613222211947325,0.25962049003833104
2025-10-17,normal,0.2698308769767395,0.2630239523511339,0.2596204900383311
2025-10-20,normal,0.2698308769767395,0.26302395235113385,0.26018773375713156
2025-10-21,normal,0.2698308769767395,0.2630239523511339,0.26018773375713156
2025-10-22,normal,0.2698308769767395,0.26472568350753534,0.26018773375713156
2025-10-23,bull,0.2357962538487114,0.26302395235113385,0.26018773375713156
2025-10-24,bull,0.2357962538487114,0.26302395235113385,0.25962049003833104
2025-10-27,bull,0.2357962538487114,0.2613222211947325,0.2590532463195306
2025-10-28,normal,0.2698308769767395,0.2613222211947325,0.25905324631953064
2025-10-29,normal,0.2698308769767395,0.2613222211947325,0.2590532463195306
2025-10-30,normal,0.2698308769767395,0.2613222211947325,0.2590532463195306
2025-10-31,normal,0.2698308769767395,0.2613222211947325,0.2590532463195306
